Name,Review,Overall Company Rating
Sunil N,"Ambient, well maintained corporate work place",4.5
Shael,It's one of the campus ofIBM in Bangalore. Manyata hai K block G1 and G2 block of IBM. G1 and G2 comes under SEZ,4.5
diptendu shekhar,Office,4.5
aluri yaswanth,Nice IT park,4.5
lohinipriya chintaoalli,its awsome,4.5
Jagannath Chalwadhi,Embassy Manyata Business Park,4.5
Saleem Shariff,Best Place to Work,4.5
Durai Nagarajan,"Ibm office, now kyndryl.",4.5
Souptik Maiti,Excellent environment for work,4.5
Dinesh kumar C,"My office space since 2015, never got bored of it.",4.5
dileep reddy,"They will select but they will not release the offer letter , they will say wait , i wait like that 1 month , in between they will drop a mail we will send you offer letter in couple of days , like that i wait but till now no respond, its …More",4.5
Nurullah Ahmed,Excellent place 💯,4.5
Sandhya V,VGood,4.5
Uday Taral,Great place to work,4.5
siddaraj ratkal,My work place,4.5
Pramod Kumar,Nice,4.5
Santhanam Ambikeswaran,Nice location.,4.5
Snigdha Kamath,I worked here for 3.2 years and it was beautiful then (2014). I love this place ! 💯,4.5
Atish Pradhan,Nice place,4.5
srikanth .s,Great working atmosphere...,4.5
Abdul Samie vulla,Very good place to work. Manyatha tech park is very cramped with huge traffic. Otherwise a  5 star place.,4.5
Tamizharasan Kuppusamy,Good,4.5
Swasti Padhi,Food court is nice. The sitting areas are so fine. But what bugs me is that they are not maintaing the washrooms. Sometimes there is no tissue papers kept and washrooms are not cleaned properly. Till now I have never seen them keep sanitary pads in the washroom. Even the flush is not working. It's really pathetic.,4.5
Balaji Subramanian,International standard amenities. Even our colleagues who visit from abroad used to rave about our work environment,4.5
Naveed Pasha,Loving it from 13 years,4.5
Sujan Kumar,Nice,4.5
Arun chiriyankandath,The building is old but really majestic. There is lot of area near by the building which you can walk freely and with lot of trees. The are lot of table tennis courts. During lunch break it feels so relaxing to have a walk in this area.,4.5
S kumar,Good work place,4.5
disham ahmad,It's good organization...,4.5
Syeda ayesha Ayesha,Beautiful workspace,4.5
Harsh Kumar,Mainframe tower,4.5
Suma ND,Next to the gutter river. Unhygienic,4.5
Venkatesh M,Not getting good food in cafeteria,4.5
Dharmaz Iyer,Nice place to work..,4.5
Ka S,Nice office,4.5
