Name,Review,Overall Company Rating
Swasti Padhi,Food court is nice. The sitting areas are so fine. But what bugs me is that they are not maintaing the washrooms. Sometimes there is no tissue papers kept and washrooms are not cleaned properly. Till now I have never seen them keep sanitary pads in the washroom. Even the flush is not working. It's really pathetic.,4.5
Narayan K,Cool place,4.5
Pratyush Pattnaik,"IBM office needs serious renovation, it's seems to be stuck in 1990s",4.5
Sunil N,"Ambient, well maintained corporate work place",4.5
Ckay K,This Building with both Kyndryl and IBM,4.5
Suraj Kiran,"It is good place to work and also one of the clean, neat and well maintained office in IBM.",4.5
Sanjay Tak,One of the best place to work.,4.5
Jayesh K,Well infrastructure and good maintained,4.5
Balaji M,Well maintained infrastructure and best place to work.,4.5
Jayanta Sonowal,"Good place for Jobs, but you can't enter without security check",4.5
Devil In Disguise,Professional work place,4.5
Chitiprolu Sravan Kumar,Best place to work,4.5
Neethu Gowda,"You can experience that's so sweet moment, when people there in speaks kannada! Thanks to the management for placing such humble admins and receptionist they are so interactive and also ensuring to resolve queries regarding access. …More",4.5
Saras Saras,Very good architecture,4.5
Venkatesh M,Not getting good food in cafeteria,4.5
Krishna Nandikes,"Good corporate office in Manyata Tech park. Clean, neat and well maintained. I have had many friends who have worked here and good feedback was given by all of them.",4.5
Shashank Tripathi,All's good but the atmosphere is a bit monotonousOr maybe i was expecting something else,4.5
Syed Saud,New look manyata is good.,4.5
Agasanoor Rajesh,Good place work safe in this place,4.5
Shael,It's one of the campus ofIBM in Bangalore. Manyata hai K block G1 and G2 block of IBM. G1 and G2 comes under SEZ,4.5
deepak kumar,Good place to work,4.5
Swati Mukhopadhyay,Nice place to work,4.5
Amardeep Amar,Good company,4.5
Mohammed Sufi,"Good place to work but rest rooms always stinks, management is not focusing on keeping even a spray to keep that pleasant",4.5
Pushker Singh Nayal,Best Place To Work,4.5
Sagar KSK,Good office space.,4.5
Sohail M,Accurate direction inside Manyata Embassy Business Park.,4.5
Saleem Shariff,Best Place to Work,4.5
Abdul Samie vulla,Very good place to work. Manyatha tech park is very cramped with huge traffic. Otherwise a  5 star place.,4.5
Priyadarsini Choudhury,Prime location IT Park. Nice view of Main road of Manyata Tech Park from G2 Building.,4.5
Minam Rasool,If anyone is going for a job interview in IBM;  (if you get selected and they assure you you'll get an offer letter within some days and then after some days they will give you no reply and when you go to enquire they will say you are on …More,4.5
Arun chiriyankandath,The building is old but really majestic. There is lot of area near by the building which you can walk freely and with lot of trees. The are lot of table tennis courts. During lunch break it feels so relaxing to have a walk in this area.,4.5
manu sv,Good place to work.,4.5
Abhishek Kumar,Old from insideLooks like old government office.Parking is almost full,4.5
Balaji Subramanian,International standard amenities. Even our colleagues who visit from abroad used to rave about our work environment,4.5
Subbarao Rallapalli,G2 is the block where IBM has occupied all the floors in Manyata which is maintained well with spacious and reach to other buildings.,4.5
saikumar kakarla,Every person wants to work in this place,4.5
Jagan Kandasami,New and good office space,4.5
Ashwanth Kumar,Great office block... Everything is close.,4.5
Roopa B,Overall experience in Ibm is very good,4.5
akhilesh yerukonda,"One of the best offices of IBM, will experience the real and best work place",4.5
disham ahmad,It's good organization...,4.5
muthu selvan,Awesome tech park,4.5
dileep reddy,"They will select but they will not release the offer letter , they will say wait , i wait like that 1 month , in between they will drop a mail we will send you offer letter in couple of days , like that i wait but till now no respond, its …More",4.5
Nirakar Barik,Good company with well maintained and interviewer staff was very good.,4.5
Ali Hussan,Good,4.5
Ka S,Nice office,4.5
shashi Kumar,"Fully AC office, Nice place to start.",4.5
Triveni Gowda,Work place with good ambience.,4.5
Kiran Vk,Funtastic work culture,4.5
Kavya bk,Nice place to work,4.5
JYOTHI ANTONY KUMAR,Very nice building and parking facility,4.5
Dinesh Nagaraju,Big applaud for the house keeping ans securities,4.5
zubeda Begum,Working with IBM fantastic place to work,4.5
Nurullah Ahmed,Excellent place 💯,4.5
Arindam Kundu,Nice place for work.,4.5
ganesh v,Good office space,4.5
Snigdha Kamath,I worked here for 3.2 years and it was beautiful then (2014). I love this place ! 💯,4.5
lakshminarayan Sagar,Very nice company,4.5
Umer Baig,The best atmosphere Place,4.5
aluri yaswanth,Nice IT park,4.5
Dona Abraham,Spacious and cool space to spend time. Seating arrangements are nice.,4.5
ganesh subbiah,Outdated design,4.5
Abhijit Sutar,lAM IBM employees my work technician,4.5
Sagar Morabagalu,Awesome work environment,4.5
Ramakrishnappa Venkatachalapathi,Nice to catch up from vehicle,4.5
Satyashiva Samal,Its a good place to work and also have fun....,4.5
Suma ND,Next to the gutter river. Unhygienic,4.5
Uday Taral,Great place to work,4.5
Naveed Pasha,Loving it from 13 years,4.5
bhargavi challa,Ibm is turning out to be a sinking ship.Being an ex employee I feel apt to post this review.The recruitment policies of Ibm have changed drastically and middle management …More,4.5
Abdul Khan,You have Ibm and kendryl in the same location.As usual the security and entry exit route is set in most stupid manner especially for the visitors,4.5
Amruthdev Kattinakere,Quite a nice place to work. I work from this building few days in a month.,4.5
Gurukiran Neeraje,Very well maintained,4.5
srikanth .s,Great working atmosphere...,4.5
Souptik Maiti,Excellent environment for work,4.5
Sandhya V,VGood,4.5
Sandip Nandi,Awesome place to work. Enjoy the place. Have fun.,4.5
Dinesh kumar C,"My office space since 2015, never got bored of it.",4.5
Hey Akhil,Nice experience. IBM India,4.5
