Name,Review,Overall Company Rating
Sagar KSK,Best IT company to work for.,4.4
Subbarao Rallapalli,Great place to work but the commuting to this place is like a adventure in traffic..,4.4
mritunjay kumar kashyap,There is a gym.  There is cafeteria  on ground floor.,4.4
Abhishek Dubey,Good place to work. Nice infrastructure of tech park. Easy commute to central Bangalore.,4.4
vinayhn vinu,Great place...,4.4
Sharath C Athrey,IBM EGL A block is home to all biggies of IBM corporate world. Beautiful office and great ambience.,4.4
k shriram,"Embassy Golf links, Bengaluru _ Excellent environment and Infrastructure",4.4
Raju Alankar,"Well maintained,  Clean place, Architecture is good.",4.4
Hemaprasanna Kc,"Big widely spreaded campus near egl.. Ample. Amount for. Parking, temple inside, brisk evening walking spaces...",4.4
Nayana Jose,It's basically an IT park. Ways are always confusing. Better if there are some instruction boards,4.4
Prem Vel,Good atmosphere to work,4.4
Abdulhameed GJ,"Nice place, weather, area",4.4
Avishek Chakraborty,IBM is always a good place to work at. EGL is one of the good IT parks in Bangalore,4.4
Shankar Ram Patel,Better oppertunity to work,4.4
Ravi Javiya (RJ),"Good place to work, nice view of HAL and Golf club",4.4
Shalini Nelson,Well maintained garden,4.4
Bala R,The Best place in the city..,4.4
Muthiah Mohan,"Good reachability, good ambiance. My office is here.",4.4
Vinod Nandhu,Nice place,4.4
saurav keshri,"Great environment, superb food court and awesome tech park",4.4
Ishwarya Amin,I work here!! So it's as amazing as a chocolate cake for a chocolate lover!! ;),4.4
Santanu Patro,Good office,4.4
Kiran Naidu,"The best Tech park, some of the coolest companies are based here",4.4
Parth Sahu,Nice place to work.,4.4
Rajesh Pulapa,It is a good place to work. tech park is very clean  you will find greenary every where and work environment is very plesant over all nice experience with egl(Embassy Golf Link Business Park),4.4
Akshay Ashok,I work here and the Environment is very good,4.4
Avanind Chauhan (Abhi),Location is good.. Well connected from other part of city,4.4
Albin Thymoottil,Transport from arekere is pain.,4.4
susmitha kan,Good place to work. We have nice infrastructure. We can meet lots of people.newly they have constructed a foot over bridge to cross. That makes pedistrans to cross easily to reach their office,4.4
Mithun Yadav,It's one of the best offices of IBM in india,4.4
Rakesh Ranjan,"Car Parking is a problem even for employees.. Building is big & good infrastructure: cafeteria on ground floor & small eatery on 1st floor, HDFC ATM near reception. View of Golf Course is nice :)",4.4
Murali Krishna,Good location to work In a steelPlace which is Domlur,4.4
