Name,Review,Overall Company Rating
Finny Varghese,Good work environment,4.3
Kiran Krishnan,"Nice place, only allowed for IBM employees and visitors, nicely done common areas and parks within the premises",4.3
Manikanta Dupam,Nice office,4.3
Saikat Saha,I am not going to write anything about the company as it is not the right platform but yes the company has nice Infrastructure even though it looks quite old from inside,4.3
avinash v,"People approaching from KR PURAM parking necessary , as its one way",4.3
INSPIRE EDUCATIONAL ACADEMY,What not on earth... This is the place to be employed,4.3
ASHOKKUMAR PULLURU,"I visited this place , all companies  and food courts are opened",4.3
Chandan Rai,Officials are really interesting,4.3
Saravana Kumar S,Good company and very old brand.,4.3
Dhamodharan V,Good place,4.3
Siddharth More,"Security is very good , and I b m employees are",4.3
Rajesh P,Please don't join D1Block 3rd floor Unilever process accounts payable.,4.3
KUDLA UDUPI,Kkk,4.3
Venkatramana K,Great place,4.3
Bhaskar Reddy,"Located in manyatha, they don't allow you inside if you don't have PAN card. Visitors pls carry Ur PAN must.",4.3
Bhumigowda Bhumika,A glance at corporate lyf,4.3
PRERIT KATIYAR,Nice place to work...,4.3
Forever Ahmed,"Awesome place to work, one of the leading IT industry. This G1 block has also got a huge cafeteria which serves food, chats, snacks & soft beverages, tea, coffee and momos",4.3
puneeth scindia,Good structured place,4.3
Shouvik Sen,"The best place to work at. The location is easily accessible, there are two food court nearby. There is a huge lawn area to walk around when free. Strategically located tech park. If you get a job here, you are settled for years to come. There are hundreds of companies operating from here.",4.3
Naveed Pasha,Love this place,4.3
Daya Ram Meena,In Manyata tech park. Easy accessible,4.3
Keerthi Balakumar,MTP,4.3
bhagyawant kinikar,Worstest company no proper management and communication technical recruiters and management and background team are useless Please don't join IBM,4.3
Umme Kulsum,Manyata Tech Park,4.3
nasika srinivasarao,It's IT company...near by Ganesh temple..pyramid food court near by.,4.3
Sukumaran Dhanabal,This is one of OLA and UBER pick up point,4.3
suneet meher,Always great my place of work..,4.3
devaraj kamkar,Love to work.. I got an opportunity to work over there.. it's my wish,4.3
Ananth K,One of the old blocks no proper parking and cramped spaces place is also not clean,4.3
Shalini Toluchuri,Good place to work.,4.3
Sivaprasad Haridasanunni,"The infrastructure is jaw dropping. Both IBM and Concentrix are combined in one huge building. This building is very unique in style, next level design, and on a good spot. You'll feel like a heaven when you go there. No idea about how the …More",4.3
Devaraj Chennur,Most of them are service sectors only,4.3
Vishal Kumar,You can also get your nsr done here.,4.3
Rajagopal T D,"Building with ample facilities.  During weekdays shuttle is available for easy access.  Friendly environment for differently abled person.  Cafeteria is available on weekdays and limited during weekends, prefer to arrange your own food.",4.3
Prakash Karn,Ram murty nagsr,4.3
